model,n_estimators,max_samples,threshold_percentile,threshold,pred_normal,pred_anomaly,precision,recall,f1,auroc,auprc
IsolationForest,100,0.8,1,-0.1178332262827988,4749,361,0.8088642659279779,0.35308343409915355,0.49158249158249157,0.7610345278329641,0.5537122575618477
IsolationForest,300,0.8,1,-0.11611280834151683,4689,421,0.7220902612826603,0.3675937122128174,0.48717948717948717,0.7680623967932614,0.5600874431556676
IsolationForest,500,0.8,1,-0.11365400103407863,4735,375,0.7653333333333333,0.347037484885127,0.47753743760399336,0.7693067358621766,0.5590666324282354
IsolationForest,300,0.8,5,-0.11131779801106256,4475,635,0.5401574803149606,0.4147521160822249,0.4692202462380301,0.7680623967932614,0.5600874431556676
IsolationForest,500,0.8,5,-0.10881631272737524,4390,720,0.5027777777777778,0.437726723095526,0.4680025856496445,0.7693067358621766,0.5590666324282354
IsolationForest,100,0.8,3,-0.11451821839890519,4565,545,0.5871559633027523,0.38694074969770254,0.46647230320699706,0.7610345278329641,0.5537122575618477
IsolationForest,500,0.8,3,-0.11081243824849552,4529,581,0.5593803786574871,0.39298669891172916,0.4616477272727273,0.7693067358621766,0.5590666324282354
IsolationForest,300,auto,1,-0.08090101343780387,4762,348,0.7787356321839081,0.32769044740024184,0.46127659574468083,0.721020874687786,0.5211240095109873
IsolationForest,300,0.8,3,-0.11467062786658155,4593,517,0.5899419729206963,0.3688029020556227,0.4538690476190476,0.7680623967932614,0.5600874431556676
IsolationForest,300,auto,3,-0.07972304940505781,4647,463,0.6285097192224622,0.3518742442563482,0.4511627906976744,0.721020874687786,0.5211240095109873
IsolationForest,100,0.8,7,-0.11241266135816153,4287,823,0.4507897934386391,0.4486094316807739,0.4496969696969697,0.7610345278329641,0.5537122575618477
IsolationForest,100,0.8,5,-0.11341235507601777,4463,647,0.5115919629057187,0.40024183796856105,0.4491180461329715,0.7610345278329641,0.5537122575618477
IsolationForest,500,0.8,7,-0.10794039489032561,4295,815,0.44539877300613495,0.43893591293833134,0.44214372716199757,0.7693067358621766,0.5590666324282354
IsolationForest,300,auto,5,-0.07855210055286266,4472,638,0.5015673981191222,0.38694074969770254,0.43686006825938567,0.721020874687786,0.5211240095109873
IsolationForest,500,0.8,10,-0.10567245216737664,4139,971,0.40370751802265703,0.4740024183796856,0.4360400444938821,0.7693067358621766,0.5590666324282354
IsolationForest,300,0.8,10,-0.10839870449595268,4050,1060,0.3877358490566038,0.4969770253929867,0.4356120826709062,0.7680623967932614,0.5600874431556676
IsolationForest,300,0.8,7,-0.1091073010971011,4228,882,0.4217687074829932,0.4498186215235792,0.4353423054417788,0.7680623967932614,0.5600874431556676
IsolationForest,300,auto,7,-0.07818254474900323,4344,766,0.45039164490861616,0.41717049576783555,0.4331450094161959,0.721020874687786,0.5211240095109873
IsolationForest,100,auto,3,-0.08099944617695642,4699,411,0.6447688564476886,0.32043530834340994,0.4281098546042003,0.6790521340662065,0.46923711319670425
IsolationForest,500,auto,5,-0.08259616560079175,4565,545,0.5376146788990825,0.3542926239419589,0.4271137026239067,0.7220276388669696,0.4998082673492387
IsolationForest,100,0.8,10,-0.11135786561131922,4099,1011,0.3877349159248269,0.4740024183796856,0.426550598476605,0.7610345278329641,0.5537122575618477
IsolationForest,500,auto,10,-0.07887442629604591,4305,805,0.4322981366459627,0.4207980652962515,0.4264705882352941,0.7220276388669696,0.4998082673492387
IsolationForest,100,auto,5,-0.07882792907873304,4554,556,0.5287769784172662,0.3555018137847642,0.42516268980477223,0.6790521340662065,0.46923711319670425
IsolationForest,500,auto,1,-0.08590601915066465,4763,347,0.7089337175792507,0.2974607013301088,0.4190800681431005,0.7220276388669696,0.4998082673492387
IsolationForest,100,auto,1,-0.0836031300793737,4777,333,0.7297297297297297,0.29383313180169285,0.4189655172413793,0.6790521340662065,0.46923711319670425
IsolationForest,300,auto,10,-0.07707754202698713,4199,911,0.3995609220636663,0.44014510278113667,0.4188722669735328,0.721020874687786,0.5211240095109873
IsolationForest,500,auto,3,-0.0847483029017776,4643,467,0.5802997858672377,0.32769044740024184,0.4188562596599691,0.7220276388669696,0.4998082673492387
IsolationForest,500,auto,7,-0.08086057080986708,4402,708,0.4533898305084746,0.38814993954050786,0.41824104234527687,0.7220276388669696,0.4998082673492387
IsolationForest,500,0.8,15,-0.10299854163677968,3756,1354,0.3360413589364845,0.5501813784764208,0.41723979825768,0.7693067358621766,0.5590666324282354
IsolationForest,300,0.8,15,-0.10557181959508499,3807,1303,0.3392171910974674,0.5344619105199516,0.41502347417840374,0.7680623967932614,0.5600874431556676
IsolationForest,100,auto,7,-0.07804213832845286,4474,636,0.46540880503144655,0.35792019347037485,0.40464798359535203,0.6790521340662065,0.46923711319670425
IsolationForest,300,0.8,20,-0.10355958020568135,3512,1598,0.30663329161451813,0.592503022974607,0.4041237113402062,0.7680623967932614,0.5600874431556676
IsolationForest,500,0.8,20,-0.10109451939739889,3476,1634,0.30416156670746636,0.6009673518742442,0.4039008533116619,0.7693067358621766,0.5590666324282354
IsolationForest,100,0.8,15,-0.10682423021257365,3766,1344,0.32589285714285715,0.5296251511487303,0.4035006909258406,0.7610345278329641,0.5537122575618477
IsolationForest,300,auto,15,-0.07521112049732659,3959,1151,0.3466550825369244,0.48246674727932287,0.4034378159757331,0.721020874687786,0.5211240095109873
IsolationForest,500,auto,15,-0.07631508149089189,3937,1173,0.34185848252344414,0.4848851269649335,0.401,0.7220276388669696,0.4998082673492387
