model,n_estimators,max_samples,n_neighbors,nu,gamma,threshold_percentile,threshold,pred_normal,pred_anomaly,precision,recall,f1,auroc,auprc
OneClassSVM,,,,0.05,scale,20,0.33208404265323566,4115,995,0.6160804020100502,0.7412333736396615,0.672886937431394,0.8751251044242571,0.765228798321386
OneClassSVM,,,,0.1,scale,20,0.6088839313740095,4106,1004,0.6135458167330677,0.7448609431680774,0.6728563626433642,0.8776581072889895,0.7673929867020243
OneClassSVM,,,,0.1,0.1,5,-0.12829909617642876,3463,1647,0.5021250758955677,1.0,0.6685529506871464,0.997184674033982,0.976822306558048
OneClassSVM,,,,0.03,0.1,5,-0.024530907075007047,3454,1656,0.4993961352657005,1.0,0.6661296818364881,0.9971846740339821,0.9768223061690084
OneClassSVM,,,,0.05,0.01,15,0.18563054949636282,4254,856,0.6530373831775701,0.6759371221281741,0.6642899584076055,0.8549082294643117,0.7355360912280496
OneClassSVM,,,,0.03,scale,20,0.2145399157566743,4131,979,0.6108273748723186,0.7230955259975816,0.6622369878183831,0.8714512339072304,0.7608349870050519
LocalOutlierFactor,,,100.0,,,7,-3.4853920936584473,3421,1689,0.4896388395500296,1.0,0.6573926868044515,0.9930991764352812,0.945963582036662
OneClassSVM,,,,0.1,0.01,15,0.33647297450595204,4236,874,0.6395881006864989,0.6759371221281741,0.6572604350382129,0.8512487574254506,0.7290936829260081
OneClassSVM,,,,0.01,scale,20,0.09268012640136902,4145,965,0.6051813471502591,0.7061668681983071,0.6517857142857143,0.86720989395662,0.7488696465327654
LocalOutlierFactor,,,50.0,,,7,-3.862534999847412,3381,1729,0.4783111625216888,1.0,0.6471048513302035,0.9926988422776586,0.9433627828469002
LocalOutlierFactor,,,20.0,,,7,-6.786661148071289,3401,1709,0.47922761849034523,0.9903264812575574,0.6458990536277602,0.9831407936836417,0.9354569053400125
LocalOutlierFactor,,,10.0,,,7,-6.9713544845581055,3437,1673,0.4769874476987448,0.9649334945586457,0.6384,0.9570806774963927,0.9082543668080075
OneClassSVM,,,,0.03,0.01,20,0.13206345854977997,4151,959,0.5922836287799792,0.686819830713422,0.6360582306830908,0.8527241779527679,0.7352673904734515
OneClassSVM,,,,0.05,0.01,20,0.2022889194720392,4134,976,0.5870901639344263,0.6928657799274486,0.6356073211314476,0.8549082294643117,0.7355360912280496
OneClassSVM,,,,0.01,0.01,20,0.05471536670463095,4144,966,0.5890269151138716,0.6880290205562273,0.6346904629113218,0.8566004741334163,0.7326578203096838
OneClassSVM,,,,0.05,0.1,7,-0.05033760003894141,3319,1791,0.4617532104969291,1.0,0.6317799847211611,0.9971846740339823,0.9768223092254805
