method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive
Original only,none,124,5000,247,0,247,20.242914979757085,0.9099999999999999,0.8857142857142857,0.5670731707317073,0.6914498141263941,0.8913043478260869,0.5540540540540541,0.6833333333333333,0.5994152046783626,0.9601278567616089,0.8006145427153712,184,132,20
Magnitude warping,traditional,124,5000,247,1000,1247,4.0096230954290295,0.7899999999999999,0.8962962962962963,0.7378048780487805,0.8093645484949833,0.9131944444444444,0.8885135135135135,0.9006849315068494,0.8933423913043478,0.9957009073705663,0.9674476393320115,288,33,25
Masking Diffusion,generative,124,5000,247,1000,1247,4.0096230954290295,0.8599999999999999,0.9354838709677419,0.7073170731707317,0.8055555555555556,0.9467213114754098,0.7804054054054054,0.8555555555555555,0.8088235294117647,0.9915303993400941,0.9433954021151676,244,65,13
Filtered@750 Masking Diffusion,generative_filtered,124,5000,247,750,997,5.015045135406218,0.84,0.8712121212121212,0.7012195121951219,0.777027027027027,0.8992537313432836,0.8141891891891891,0.8546099290780141,0.8298898071625345,0.9895688776748024,0.9332988260413212,268,55,27
Original only,none,125,5000,247,0,247,20.242914979757085,0.9199999999999999,0.9545454545454546,0.5121951219512195,0.6666666666666666,0.952054794520548,0.46959459459459457,0.6289592760180995,0.5225563909774437,0.9609988354602358,0.7938239592246443,146,157,7
Magnitude warping,traditional,125,5000,247,1000,1247,4.0096230954290295,0.8099999999999999,0.8461538461538461,0.7378048780487805,0.7882736156351792,0.8461538461538461,0.8547297297297297,0.8504201680672269,0.8530006743088334,0.9926294337425396,0.9378458344369575,299,43,46
Masking Diffusion,generative,125,5000,247,1000,1247,4.0096230954290295,0.8599999999999999,0.8571428571428571,0.6951219512195121,0.7676767676767676,0.8783269961977186,0.7804054054054054,0.8264758497316637,0.7982031789910159,0.9896040564801787,0.9164127915576009,263,65,32
Filtered@750 Masking Diffusion,generative_filtered,125,5000,247,750,997,5.015045135406218,0.8899999999999999,0.9809523809523809,0.6280487804878049,0.7657992565055762,0.9742268041237113,0.6385135135135135,0.7714285714285715,0.6857764876632801,0.990627881022854,0.9299557622637247,194,107,5
Original only,none,126,5000,247,0,247,20.242914979757085,0.9099999999999999,0.6333333333333333,0.5792682926829268,0.6050955414012739,0.660377358490566,0.5912162162162162,0.6238859180035651,0.6038647342995169,0.948680188267262,0.7082023516809092,265,121,90
Magnitude warping,traditional,126,5000,247,1000,1247,4.0096230954290295,0.8599999999999999,0.8571428571428571,0.6585365853658537,0.7448275862068966,0.8647540983606558,0.7128378378378378,0.7814814814814814,0.738795518207283,0.9877638410403222,0.9096513126278021,244,85,33
Masking Diffusion,generative,126,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.8283582089552238,0.676829268292683,0.7449664429530202,0.8062283737024222,0.7871621621621622,0.7965811965811965,0.7909029192124916,0.9822201465379203,0.8800484847528985,289,63,56
Filtered@750 Masking Diffusion,generative_filtered,126,5000,247,750,997,5.015045135406218,0.9099999999999999,0.9393939393939394,0.5670731707317073,0.7072243346007605,0.8956043956043956,0.5506756756756757,0.6820083682008368,0.5966325036603221,0.9812533359211995,0.8705870220275053,182,133,19
Original only,none,127,5000,247,0,247,20.242914979757085,0.9199999999999999,0.8521739130434782,0.5975609756097561,0.7025089605734767,0.868421052631579,0.5574324324324325,0.6790123456790124,0.6004366812227074,0.9551191227133776,0.7920716181566934,190,131,25
Magnitude warping,traditional,127,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.9911504424778761,0.6829268292682927,0.8086642599277978,0.9909502262443439,0.7398648648648649,0.8471953578336557,0.7793594306049823,0.9908389538551118,0.9390654122077895,221,77,2
Masking Diffusion,generative,127,5000,247,1000,1247,4.0096230954290295,0.8899999999999999,1.0,0.6585365853658537,0.7941176470588235,0.9596412556053812,0.722972972972973,0.8246628131021194,0.7604832977967306,0.9868698141588627,0.9278468802979403,223,82,9
Filtered@750 Masking Diffusion,generative_filtered,127,5000,247,750,997,5.015045135406218,0.8799999999999999,0.8769230769230769,0.6951219512195121,0.7755102040816326,0.8902439024390244,0.7398648648648649,0.8081180811808119,0.7657342657342657,0.9846159444902712,0.9061054435246089,246,77,27
Original only,none,128,5000,247,0,247,20.242914979757085,0.8899999999999999,0.7482014388489209,0.6341463414634146,0.6864686468646864,0.7883817427385892,0.6418918918918919,0.707635009310987,0.6666666666666666,0.9623137949439564,0.8098466350380266,241,106,51
Magnitude warping,traditional,128,5000,247,1000,1247,4.0096230954290295,0.83,0.9262295081967213,0.6890243902439024,0.7902097902097902,0.9565217391304348,0.8175675675675675,0.8816029143897997,0.8420320111343076,0.9944951234897375,0.9579864061635708,253,54,11
Masking Diffusion,generative,128,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.9327731092436975,0.676829268292683,0.784452296819788,0.940677966101695,0.75,0.8345864661654135,0.7816901408450704,0.9900298413314571,0.9322636289338311,236,74,14
Filtered@750 Masking Diffusion,generative_filtered,128,5000,247,750,997,5.015045135406218,0.8699999999999999,0.9391304347826087,0.6585365853658537,0.7741935483870968,0.9391304347826087,0.7297297297297297,0.8212927756653993,0.7637906647807637,0.9900917075064293,0.9317998455938066,230,80,14
Original only,none,129,5000,247,0,247,20.242914979757085,0.9199999999999999,0.9230769230769231,0.5853658536585366,0.7164179104477612,0.9060773480662984,0.5540540540540541,0.6876310272536688,0.6007326007326007,0.9612596438449221,0.8078861612185244,181,132,17
Magnitude warping,traditional,129,5000,247,1000,1247,4.0096230954290295,0.8099999999999999,0.8620689655172413,0.7621951219512195,0.8090614886731392,0.8954703832752613,0.8682432432432432,0.8816466552315609,0.8735554044867437,0.995118637488476,0.961904527850994,287,39,30
Masking Diffusion,generative,129,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.8489208633093526,0.7195121951219512,0.7788778877887789,0.8203389830508474,0.8175675675675675,0.8189509306260575,0.8181203515889114,0.9891030617691301,0.9188947990223277,295,54,53
Filtered@750 Masking Diffusion,generative_filtered,129,5000,247,750,997,5.015045135406218,0.8499999999999999,0.85,0.725609756097561,0.7828947368421053,0.8253424657534246,0.8141891891891891,0.8197278911564626,0.8163956639566395,0.9871184919210053,0.8981987603465841,292,55,51
