method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive
Original only,none,114,5000,247,0,247,20.242914979757085,0.9299999999999999,0.8018867924528302,0.5182926829268293,0.6296296296296297,0.8083832335329342,0.4560810810810811,0.5831533477321814,0.4996299037749815,0.9557292930273181,0.7693554613478975,167,161,32
Magnitude warping,traditional,114,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.990990990990991,0.6707317073170732,0.8,0.9864864864864865,0.7398648648648649,0.8455598455598455,0.7788051209103841,0.9943932262603717,0.9574487206573674,222,77,3
Masking Diffusion,generative,114,5000,247,1000,1247,4.0096230954290295,0.8799999999999999,0.9658119658119658,0.6890243902439024,0.8042704626334519,0.9444444444444444,0.7466216216216216,0.8339622641509434,0.7792665726375176,0.9890897180843321,0.9298673360423745,234,75,13
Filtered@750 Masking Diffusion,generative_filtered,114,5000,247,750,997,5.015045135406218,0.8899999999999999,0.864,0.6585365853658537,0.7474048442906575,0.9074889867841409,0.6959459459459459,0.7877629063097514,0.7299787384833452,0.9867339511863749,0.9110548339077829,227,90,21
Original only,none,115,5000,247,0,247,20.242914979757085,0.9099999999999999,0.7034482758620689,0.6219512195121951,0.6601941747572816,0.75,0.5878378378378378,0.6590909090909091,0.614406779661017,0.9518656897471979,0.7575544821784405,232,122,58
Magnitude warping,traditional,115,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.9230769230769231,0.6585365853658537,0.7686832740213523,0.9641255605381166,0.7263513513513513,0.8285163776493256,0.7640369580668088,0.9903391722063175,0.9339671600206114,223,81,8
Masking Diffusion,generative,115,5000,247,1000,1247,4.0096230954290295,0.8999999999999999,0.9272727272727272,0.6219512195121951,0.7445255474452555,0.9128205128205128,0.6013513513513513,0.725050916496945,0.6453952139231327,0.9818829152312096,0.8782990564081958,195,118,17
Filtered@750 Masking Diffusion,generative_filtered,115,5000,247,750,997,5.015045135406218,0.8699999999999999,0.8629032258064516,0.6524390243902439,0.7430555555555556,0.823076923076923,0.722972972972973,0.7697841726618705,0.7409972299168975,0.9805352030666215,0.8770027557575156,260,82,46
Original only,none,116,5000,247,0,247,20.242914979757085,0.9099999999999999,0.8319327731092437,0.6036585365853658,0.6996466431095406,0.855,0.5777027027027027,0.6895161290322581,0.6177745664739884,0.9582476102673589,0.7847609767400365,200,125,29
Magnitude warping,traditional,116,5000,247,1000,1247,4.0096230954290295,0.82,0.8837209302325582,0.6951219512195121,0.7781569965870307,0.9087591240875912,0.8412162162162162,0.8736842105263158,0.8539094650205762,0.9949560871463923,0.9601631650414459,274,47,25
Masking Diffusion,generative,116,5000,247,1000,1247,4.0096230954290295,0.8599999999999999,0.9338842975206612,0.6890243902439024,0.7929824561403509,0.9446640316205533,0.8074324324324325,0.8706739526411658,0.8315935977731385,0.9913023436362753,0.9442720386433731,253,57,14
Filtered@750 Masking Diffusion,generative_filtered,116,5000,247,750,997,5.015045135406218,0.8499999999999999,0.9186991869918699,0.6890243902439024,0.7874564459930313,0.93359375,0.8074324324324325,0.8659420289855072,0.8298611111111112,0.9934907079431317,0.9551371648484328,256,57,17
Original only,none,117,5000,247,0,247,20.242914979757085,0.9099999999999999,0.8015267175572519,0.6402439024390244,0.711864406779661,0.8160377358490566,0.5844594594594594,0.6811023622047244,0.6196275071633238,0.9585266145858605,0.7856029799726345,212,123,39
Magnitude warping,traditional,117,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.9669421487603306,0.7134146341463414,0.8210526315789474,0.9605263157894737,0.7398648648648649,0.8358778625954199,0.7754957507082153,0.9939795720316366,0.9547392230154939,228,77,9
Masking Diffusion,generative,117,5000,247,1000,1247,4.0096230954290295,0.8799999999999999,0.9741379310344828,0.6890243902439024,0.8071428571428572,0.9770642201834863,0.7195945945945946,0.8287937743190662,0.7596291012838802,0.9916371488184774,0.943045892348032,218,83,5
Filtered@750 Masking Diffusion,generative_filtered,117,5000,247,750,997,5.015045135406218,0.8799999999999999,0.9827586206896551,0.6951219512195121,0.8142857142857143,0.9952380952380953,0.706081081081081,0.8260869565217391,0.7496413199426112,0.9910767140569654,0.9375048974011333,210,87,1
