method,n_runs,precision_mean,precision_std,precision_min,precision_max,precision_range,precision_cv,recall_mean,recall_std,recall_min,recall_max,recall_range,recall_cv,f1_mean,f1_std,f1_min,f1_max,f1_range,f1_cv,f2_mean,f2_std,f2_min,f2_max,f2_range,f2_cv,auprc_mean,auprc_std,auprc_min,auprc_max,auprc_range,auprc_cv
Filtered@750 Masking Diffusion,30,0.8988999804422265,0.07268053755597362,0.6786786786786787,1.0,0.3213213213213213,0.08085497734710974,0.7158783783783785,0.07335613353287869,0.5506756756756757,0.8209459459459459,0.2702702702702703,0.10247010630359644,0.7924796233155156,0.04572761905787053,0.6820083682008368,0.8717948717948718,0.18978650359403504,0.05770194931518721,0.7438411646276111,0.06090997178074167,0.5966325036603221,0.8298898071625345,0.2332573035022124,0.08188572329313747,0.9109830782131966,0.026717705362125012,0.8466962559659748,0.9551371648484328,0.10844090888245805,0.029328432109330893
Magnitude warping,30,0.9307629637192963,0.04308861230567918,0.8322368421052632,0.9909502262443439,0.15871338413908076,0.046293862116621606,0.8019144144144144,0.054275549029507875,0.6554054054054054,0.8885135135135135,0.23310810810810811,0.06768247091448251,0.8595724892811142,0.02972677127282439,0.7814814814814814,0.9006849315068494,0.11920345002536792,0.034583204608707015,0.8236445337074284,0.043837921532398696,0.7013738250180767,0.8933423913043478,0.19196856628627113,0.053224321583333206,0.949957734308123,0.016473782441637056,0.9096513126278021,0.9732725680884992,0.06362125546069708,0.017341595153846825
Masking Diffusion,30,0.9293395490359841,0.05081440000153715,0.8062283737024222,0.9951690821256038,0.18894070842318167,0.05467797002101931,0.7397522522522524,0.05706796897967872,0.6013513513513513,0.8277027027027027,0.22635135135135143,0.07714470460337143,0.8211984221476922,0.032363527075632795,0.725050916496945,0.8856624319419237,0.16061151544497876,0.03941011843519133,0.7698541545952889,0.046860865468916685,0.6453952139231327,0.8478109798471161,0.20241576592398336,0.060869796167497936,0.9242798052944483,0.02097428779480015,0.8782990564081958,0.9602878437937522,0.08198878738555637,0.02269257390960561
Original only,30,0.8376060609863362,0.0862838414293153,0.660377358490566,0.971830985915493,0.311453627424927,0.10301243681034306,0.5644144144144144,0.06389687532636713,0.44932432432432434,0.6722972972972973,0.22297297297297292,0.11320914862293299,0.6678003575813523,0.03095712540810282,0.5831533477321814,0.7210626185958254,0.13790927086364402,0.0463568565914276,0.6007500538637072,0.05177062854289296,0.4996299037749815,0.6791808873720137,0.17955098359703214,0.08617665235305699,0.7843870740962167,0.02198999113044848,0.7082023516809092,0.8152630378204309,0.10706068613952169,0.028034616908731824
