method,augmentation_family,seed,generated_anomaly_used,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auprc,false_negative,false_positive
Magnitude warping,traditional,42,1000,0.5099999999999999,0.3704545454545455,0.9939024390243902,0.5397350993377483,0.288780487804878,1.0,0.4481453444360333,0.6699864191942055,0.9632867420814195,0,729
Magnitude warping,traditional,42,1000,0.5199999999999999,0.37327188940092165,0.9878048780487805,0.5418060200668896,0.2977867203219316,1.0,0.45891472868217054,0.6795224977043158,0.9632867420814195,0,698
Magnitude warping,traditional,42,1000,0.5299999999999999,0.3747072599531616,0.975609756097561,0.5414551607445008,0.30578512396694213,1.0,0.46835443037974683,0.6877323420074349,0.9632867420814195,0,672
Magnitude warping,traditional,42,1000,0.5399999999999999,0.3827751196172249,0.975609756097561,0.5498281786941581,0.3193096008629989,1.0,0.48405560098119377,0.7010895310279488,0.9632867420814195,0,631
Magnitude warping,traditional,42,1000,0.5499999999999999,0.3878048780487805,0.9695121951219512,0.554006968641115,0.33183856502242154,1.0,0.4983164983164983,0.7129094412331407,0.9632867420814195,0,596
Magnitude warping,traditional,42,1000,0.5599999999999999,0.39054726368159204,0.9573170731707317,0.5547703180212014,0.34418604651162793,1.0,0.5121107266435986,0.7240704500978473,0.9632867420814195,0,564
Magnitude warping,traditional,42,1000,0.57,0.3944723618090452,0.9573170731707317,0.5587188612099644,0.35406698564593303,1.0,0.5229681978798587,0.7326732673267327,0.9632867420814195,0,540
Magnitude warping,traditional,42,1000,0.58,0.40463917525773196,0.9573170731707317,0.5688405797101449,0.3645320197044335,1.0,0.5342960288808665,0.7414829659318637,0.9632867420814195,0,516
Magnitude warping,traditional,42,1000,0.59,0.4095744680851064,0.9390243902439024,0.5703703703703704,0.37373737373737376,1.0,0.5441176470588235,0.7489878542510121,0.9632867420814195,0,496
Magnitude warping,traditional,42,1000,0.6,0.41304347826086957,0.926829268292683,0.5714285714285714,0.38794233289646135,1.0,0.559017941454202,0.7601438109912686,0.9632867420814195,0,467
Magnitude warping,traditional,42,1000,0.61,0.4178272980501393,0.9146341463414634,0.5736137667304015,0.4038199181446112,1.0,0.5753158406219631,0.7720396452790819,0.9632867420814195,0,437
Magnitude warping,traditional,42,1000,0.62,0.42485549132947975,0.8963414634146342,0.5764705882352941,0.4222539229671897,1.0,0.5937813440320963,0.7851458885941645,0.9632867420814195,0,405
Magnitude warping,traditional,42,1000,0.63,0.43636363636363634,0.8780487804878049,0.582995951417004,0.43593519882179677,1.0,0.6071794871794872,0.7944176060118089,0.9632867420814195,0,383
Magnitude warping,traditional,42,1000,0.6399999999999999,0.45,0.8780487804878049,0.5950413223140496,0.4505327245053272,1.0,0.621196222455404,0.8039109179793591,0.9632867420814195,0,361
