method,precision_floor,n_thresholds_at_floor,max_final_recall_at_floor,best_final_precision_at_floor,best_threshold_at_floor,n_high_recall_thresholds_at_floor,threshold_width_at_floor,mean_recall_at_floor,std_recall_at_floor
Magnitude warping,0.9,16,0.8581081081081081,0.910394265232975,0.7999999999999999,3,0.020000000000000018,0.5863597972972973,0.19537416089003867
Filtered@750 Masking Diffusion,0.9,12,0.831081081081081,0.9044117647058824,0.84,2,0.009999999999999898,0.5976914414414415,0.1569828228656138
Masking Diffusion,0.9,12,0.8243243243243243,0.9138576779026217,0.84,2,0.009999999999999898,0.6126126126126127,0.1630830560908184
Original only,0.9,5,0.5641891891891891,0.9226519337016574,0.9099999999999999,0,0.0,0.43445945945945946,0.11272348145999417
