strategy,threshold,validation_precision,validation_recall,validation_f1,validation_pred_normal,validation_pred_anomaly,validation_true_normal,validation_true_anomaly,final_precision,final_recall,final_f1,final_pred_normal,final_pred_anomaly,final_true_normal,final_true_anomaly,final_auroc,final_auprc
best_validation_f1,0.83,0.9185185185185185,0.7560975609756098,0.8294314381270903,1312,135,1283,164,0.9183673469387755,0.9121621621621622,0.9152542372881356,2787,294,2785,296,0.9961491338735504,0.9712915843090161
max_recall_with_validation_precision_at_least_0.80,0.7899999999999999,0.810126582278481,0.7804878048780488,0.7950310559006211,1289,158,1283,164,0.8348082595870207,0.956081081081081,0.8913385826771654,2742,339,2785,296,0.9961491338735504,0.9712915843090161
max_validation_recall,0.48999999999999994,0.3504273504273504,1.0,0.5189873417721519,979,468,1283,164,0.2808349146110057,1.0,0.43851851851851853,2027,1054,2785,296,0.9961491338735504,0.9712915843090161
