method,generated_anomaly_used,threshold_selection,threshold_selected_on_real_validation,validation_precision,validation_recall,validation_f1,precision,recall,f1,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly,n_estimators,max_depth,min_samples_leaf,max_features,class_weight
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.9649122807017544,0.6707317073170732,0.7913669064748201,0.9912280701754386,0.7635135135135135,0.8625954198473282,0.9845340627881023,0.9232412125668715,2853,228,2785,296,500,,1,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.9649122807017544,0.6707317073170732,0.7913669064748201,0.9764150943396226,0.6993243243243243,0.8149606299212598,0.9850271725944975,0.9182194758008767,2869,212,2785,296,500,12.0,1,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.9649122807017544,0.6707317073170732,0.7913669064748201,0.9956709956709957,0.777027027027027,0.872865275142315,0.9870323645009462,0.9305495633245822,2850,231,2785,296,500,20.0,1,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8999999999999999,0.9908256880733946,0.6585365853658537,0.7912087912087912,1.0,0.6486486486486487,0.7868852459016393,0.9833458683099616,0.9075080173527493,2889,192,2785,296,500,20.0,2,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.9487179487179487,0.676829268292683,0.7900355871886121,0.9831223628691983,0.7871621621621622,0.874296435272045,0.9857222572662429,0.9282354231556551,2844,237,2785,296,500,20.0,1,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,1.0,0.6524390243902439,0.7896678966789668,0.9953703703703703,0.7263513513513513,0.83984375,0.9862535785336504,0.9244797809340229,2865,216,2785,296,300,,1,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.9818181818181818,0.6585365853658537,0.7883211678832117,0.9534883720930233,0.6925675675675675,0.8023483365949119,0.9807171624047747,0.8953144709388344,2866,215,2785,296,300,,2,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.9818181818181818,0.6585365853658537,0.7883211678832117,0.9619047619047619,0.6824324324324325,0.7984189723320159,0.9809051870541996,0.8964828682964023,2871,210,2785,296,300,20.0,2,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.82,0.8914728682170543,0.7012195121951219,0.7849829351535836,0.7877551020408163,0.652027027027027,0.7134935304990758,0.9726248241059732,0.8277779926977368,2836,245,2785,296,300,12.0,5,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.9327731092436975,0.676829268292683,0.784452296819788,0.9243027888446215,0.7837837837837838,0.8482632541133455,0.9838244213693046,0.9169265342078524,2830,251,2785,296,300,,1,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.956140350877193,0.6646341463414634,0.7841726618705036,0.9854368932038835,0.6858108108108109,0.8087649402390438,0.9839244990052889,0.910020164064154,2875,206,2785,296,300,12.0,1,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8999999999999999,0.981651376146789,0.6524390243902439,0.7838827838827839,0.9844559585492227,0.6418918918918919,0.7770961145194274,0.9820891358144501,0.9000920842020907,2888,193,2785,296,300,,2,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.925,0.676829268292683,0.7816901408450704,0.9482758620689655,0.7432432432432432,0.8333333333333334,0.9839439080013587,0.9096454723303545,2849,232,2785,296,500,12.0,1,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8999999999999999,0.9727272727272728,0.6524390243902439,0.781021897810219,0.9840425531914894,0.625,0.7644628099173554,0.9825270512882721,0.9006908005571367,2893,188,2785,296,300,20.0,2,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8999999999999999,1.0,0.6341463414634146,0.7761194029850746,1.0,0.6891891891891891,0.816,0.9849289145518949,0.9230455159252496,2877,204,2785,296,300,20.0,1,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.9083333333333333,0.6646341463414634,0.7676056338028169,0.8923766816143498,0.6722972972972973,0.766859344894027,0.979488330341113,0.8781400989054562,2858,223,2785,296,300,12.0,2,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.9083333333333333,0.6646341463414634,0.7676056338028169,0.9128440366972477,0.6722972972972973,0.77431906614786,0.9802355766897958,0.8845963475036227,2863,218,2785,296,500,12.0,2,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.9719626168224299,0.6341463414634146,0.7675276752767528,0.9702970297029703,0.6621621621621622,0.7871485943775101,0.9845698481246057,0.9101960849042802,2879,202,2785,296,300,12.0,1,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8999999999999999,0.9719626168224299,0.6341463414634146,0.7675276752767528,0.9775280898876404,0.5878378378378378,0.7341772151898734,0.9759376971226164,0.8678538170213401,2903,178,2785,296,300,12.0,2,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.8870967741935484,0.6707317073170732,0.7638888888888888,0.8820960698689956,0.6824324324324325,0.7695238095238095,0.9767371051482363,0.869704525066472,2852,229,2785,296,500,12.0,2,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.9099999999999999,0.9454545454545454,0.6341463414634146,0.7591240875912408,0.9425287356321839,0.5540540540540541,0.6978723404255319,0.9629191130088797,0.814376171198477,2907,174,2785,296,500,,5,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.9099999999999999,0.9454545454545454,0.6341463414634146,0.7591240875912408,0.9425287356321839,0.5540540540540541,0.6978723404255319,0.9629409481294581,0.8145118088477724,2907,174,2785,296,500,20.0,5,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8991596638655462,0.6524390243902439,0.7561837455830389,0.861904761904762,0.6114864864864865,0.7154150197628458,0.9597869862681352,0.8042344366863803,2871,210,2785,296,300,,5,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8991596638655462,0.6524390243902439,0.7561837455830389,0.8660287081339713,0.6114864864864865,0.7168316831683168,0.9599616672327624,0.8049275252354864,2872,209,2785,296,300,20.0,5,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8991596638655462,0.6524390243902439,0.7561837455830389,0.8761904761904762,0.6216216216216216,0.7272727272727273,0.9616029404629045,0.8111167226882647,2871,210,2785,296,500,,5,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8991596638655462,0.6524390243902439,0.7561837455830389,0.8235294117647058,0.6148648648648649,0.7040618955512572,0.9612657091561938,0.8008671244926002,2860,221,2785,296,500,12.0,5,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8991596638655462,0.6524390243902439,0.7561837455830389,0.8761904761904762,0.6216216216216216,0.7272727272727273,0.9616902809452181,0.8114551718676751,2871,210,2785,296,500,20.0,5,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8916666666666667,0.6524390243902439,0.7535211267605634,0.84688995215311,0.597972972972973,0.700990099009901,0.9624460187296812,0.8045948442932194,2872,209,2785,296,300,12.0,5,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8983050847457628,0.6463414634146342,0.75177304964539,0.8483412322274881,0.6047297297297297,0.7061143984220908,0.9596814498520064,0.7954707878045175,2870,211,2785,296,500,12.0,5,sqrt,balanced_subsample
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8842975206611571,0.6524390243902439,0.7508771929824561,0.8280542986425339,0.6182432432432432,0.7079303675048356,0.9645943519821438,0.8158032495564452,2860,221,2785,296,300,,5,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8899999999999999,0.8842975206611571,0.6524390243902439,0.7508771929824561,0.8280542986425339,0.6182432432432432,0.7079303675048356,0.9646525789703528,0.8161457439852463,2860,221,2785,296,300,20.0,5,sqrt,"{0: 1, 1: 4}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.8503937007874016,0.6585365853658537,0.7422680412371134,0.7601626016260162,0.6317567567567568,0.6900369003690037,0.9610607016352078,0.7988932887699527,2835,246,2785,296,300,12.0,5,sqrt,balanced_subsample
