threshold,validation_precision,validation_recall,validation_f1,validation_pred_anomaly,final_precision,final_recall,final_f1,final_pred_anomaly
0.05,0.1857304643261608,1.0,0.3132760267430755,883,0.12111292962356793,1.0,0.21605839416058395,2444
0.06,0.1943127962085308,1.0,0.3253968253968254,844,0.12579685507862304,1.0,0.22348055870139674,2353
0.07,0.20024420024420025,1.0,0.3336724313326551,819,0.12954048140043764,1.0,0.22936846183649748,2285
0.08,0.20707070707070707,1.0,0.34309623430962344,792,0.13255709807433946,1.0,0.23408461842625544,2233
0.09,0.21106821106821108,1.0,0.3485653560042508,777,0.13571756075194866,1.0,0.2389987888574889,2181
0.09999999999999999,0.21635883905013192,1.0,0.3557483731019523,758,0.1383177570093458,1.0,0.24302134646962234,2140
0.10999999999999999,0.2192513368983957,1.0,0.35964912280701755,748,0.14081826831588962,1.0,0.2468723936613845,2102
0.12,0.2219215155615697,1.0,0.36323366555924697,739,0.1434803683955405,1.0,0.2509537939805002,2063
0.13,0.22558459422283356,1.0,0.3681257014590348,727,0.1450980392156863,1.0,0.2534246575342466,2040
0.13999999999999999,0.23196605374823195,1.0,0.37657864523536166,707,0.14682539682539683,1.0,0.2560553633217993,2016
0.14999999999999997,0.2349570200573066,1.0,0.3805104408352668,698,0.14837092731829574,1.0,0.2584024443474465,1995
0.15999999999999998,0.23768115942028986,1.0,0.3840749414519906,690,0.15078960774325012,1.0,0.26206285967242143,1963
0.16999999999999998,0.24082232011747431,1.0,0.3881656804733728,681,0.1534473820632452,1.0,0.2660674157303371,1929
0.18,0.24224519940915806,1.0,0.39001189060642094,677,0.15538057742782152,1.0,0.26896865061335756,1905
0.19,0.2444113263785395,1.0,0.39281437125748503,671,0.1570291777188329,1.0,0.2714351215038973,1885
0.19999999999999996,0.24848484848484848,1.0,0.39805825242718446,660,0.15871313672922252,1.0,0.27394724664507175,1865
0.20999999999999996,0.2523076923076923,1.0,0.40294840294840295,650,0.16060770482908301,1.0,0.2767648433847592,1843
0.21999999999999997,0.25386996904024767,1.0,0.4049382716049383,646,0.1620142309797482,1.0,0.2788506829957607,1827
0.22999999999999998,0.25625,1.0,0.4079601990049751,640,0.1638981173864895,1.0,0.28163653663177923,1806
0.24,0.25826771653543307,1.0,0.41051314142678347,635,0.167420814479638,1.0,0.2868217054263566,1768
0.24999999999999994,0.2624,1.0,0.4157160963244613,625,0.16991963260619977,1.0,0.2904808635917566,1742
0.25999999999999995,0.26666666666666666,1.0,0.42105263157894735,615,0.17229336437718276,1.0,0.2939424031777557,1718
0.26999999999999996,0.2701812191103789,1.0,0.4254215304798962,607,0.17463126843657817,1.0,0.2973380210949272,1695
0.27999999999999997,0.2760942760942761,1.0,0.43271767810026385,594,0.1765056648777579,1.0,0.3000506842372022,1677
0.29,0.27986348122866894,1.0,0.43733333333333335,586,0.17993920972644378,1.0,0.3049974240082432,1645
0.3,0.2867132867132867,1.0,0.44565217391304346,572,0.18442367601246107,1.0,0.3114150447133088,1605
0.30999999999999994,0.28975265017667845,1.0,0.44931506849315067,566,0.18962203715566944,1.0,0.31879375336564353,1561
0.31999999999999995,0.29233511586452765,1.0,0.45241379310344826,561,0.19321148825065274,1.0,0.3238512035010941,1532
0.32999999999999996,0.2939068100358423,1.0,0.45429362880886426,558,0.1979933110367893,1.0,0.3305415968732552,1495
0.33999999999999997,0.30036630036630035,1.0,0.4619718309859155,546,0.20136054421768707,1.0,0.3352208380520951,1470
0.3499999999999999,0.3054003724394786,1.0,0.46790299572039945,537,0.20569840166782488,1.0,0.34121037463976944,1439
0.35999999999999993,0.30943396226415093,1.0,0.47262247838616717,530,0.21097647897362795,1.0,0.34844025897586817,1403
0.36999999999999994,0.31417624521072796,1.0,0.478134110787172,522,0.21574344023323616,1.0,0.354916067146283,1372
0.37999999999999995,0.32220039292730845,1.0,0.487369985141159,509,0.2208955223880597,1.0,0.36185819070904646,1340
0.38999999999999996,0.3228346456692913,1.0,0.4880952380952381,508,0.22734254992319508,1.0,0.3704630788485607,1302
0.3999999999999999,0.32475247524752476,1.0,0.49028400597907323,505,0.23252160251374707,1.0,0.3773103887826641,1273
0.4099999999999999,0.3253968253968254,1.0,0.49101796407185627,504,0.23698959167333866,1.0,0.3831715210355987,1249
0.41999999999999993,0.3319838056680162,1.0,0.49848024316109424,494,0.24183006535947713,1.0,0.3894736842105263,1224
0.42999999999999994,0.3333333333333333,1.0,0.5,492,0.2468723936613845,1.0,0.3959866220735786,1199
0.43999999999999995,0.33537832310838445,1.0,0.5022970903522205,489,0.2527754056362084,1.0,0.40354464894342196,1171
0.4499999999999999,0.3374485596707819,1.0,0.5046153846153846,486,0.2596491228070175,1.0,0.41225626740947074,1140
0.4599999999999999,0.33954451345755693,1.0,0.5069551777434312,483,0.2642857142857143,1.0,0.4180790960451977,1120
0.4699999999999999,0.3445378151260504,1.0,0.5125,476,0.27031963470319637,1.0,0.42559309849029475,1095
0.4799999999999999,0.3482905982905983,0.9939024390243902,0.5158227848101266,468,0.27586206896551724,1.0,0.43243243243243246,1073
0.48999999999999994,0.355119825708061,0.9939024390243902,0.5232744783306581,459,0.282712511938873,1.0,0.44080416976917347,1047
0.49999999999999994,0.36,0.9878048780487805,0.5276872964169381,450,0.2904808635917566,1.0,0.45019011406844106,1019
0.5099999999999999,0.3698630136986301,0.9878048780487805,0.5382059800664452,438,0.2998986828774063,1.0,0.46141855027279816,987
0.5199999999999999,0.3815165876777251,0.9817073170731707,0.5494880546075085,422,0.30578512396694213,1.0,0.46835443037974683,968
0.5299999999999999,0.3883495145631068,0.975609756097561,0.5555555555555556,412,0.317937701396348,1.0,0.48247758761206194,931
0.5399999999999999,0.39012345679012345,0.9634146341463414,0.5553602811950791,405,0.33035714285714285,1.0,0.4966442953020134,896
0.5499999999999999,0.39141414141414144,0.9451219512195121,0.5535714285714286,396,0.34101382488479265,1.0,0.5085910652920962,868
0.5599999999999999,0.39641943734015345,0.9451219512195121,0.5585585585585585,391,0.35071090047393366,1.0,0.519298245614035,844
0.57,0.4068241469816273,0.9451219512195121,0.5688073394495413,381,0.3627450980392157,1.0,0.5323741007194245,816
0.58,0.4146341463414634,0.9329268292682927,0.574108818011257,369,0.37420986093552466,1.0,0.5446182152713891,791
0.59,0.4225352112676056,0.9146341463414634,0.5780346820809249,355,0.38441558441558443,1.0,0.5553470919324578,770
0.6,0.4408284023668639,0.9085365853658537,0.5936254980079682,338,0.3983849259757739,1.0,0.5697786333012512,743
0.61,0.4481707317073171,0.8963414634146342,0.5975609756097561,328,0.41086350974930363,0.9966216216216216,0.5818540433925049,718
0.62,0.4559748427672956,0.8841463414634146,0.6016597510373444,318,0.42877906976744184,0.9966216216216216,0.5995934959349594,688
0.63,0.47058823529411764,0.8780487804878049,0.6127659574468085,306,0.4496951219512195,0.9966216216216216,0.6197478991596639,656
0.6399999999999999,0.48135593220338985,0.8658536585365854,0.6187363834422658,295,0.46825396825396826,0.9966216216216216,0.6371490280777538,630
0.6499999999999999,0.49645390070921985,0.8536585365853658,0.6278026905829597,282,0.4796747967479675,0.9966216216216216,0.6476399560922064,615
0.6599999999999999,0.5072992700729927,0.8475609756097561,0.634703196347032,274,0.48440065681444994,0.9966216216216216,0.6519337016574586,609
0.6699999999999999,0.5225563909774437,0.8475609756097561,0.6465116279069767,266,0.5051369863013698,0.9966216216216216,0.6704545454545454,584
0.6799999999999999,0.5348837209302325,0.8414634146341463,0.6540284360189573,258,0.5212014134275619,0.9966216216216216,0.6844547563805105,566
0.69,0.5487804878048781,0.823170731707317,0.6585365853658537,246,0.5444444444444444,0.9932432432432432,0.7033492822966507,540
