strategy,threshold,validation_precision,validation_recall,validation_f1,validation_pred_normal,validation_pred_anomaly,validation_true_normal,validation_true_anomaly,final_precision,final_recall,final_f1,final_pred_normal,final_pred_anomaly,final_true_normal,final_true_anomaly,final_auroc,final_auprc
best_validation_f1,0.8099999999999999,0.983739837398374,0.7378048780487805,0.8432055749128919,1324,123,1283,164,0.9715447154471545,0.8074324324324325,0.8819188191881919,2835,246,2785,296,0.9944271920034937,0.9610308343633851
max_recall_with_validation_precision_at_least_0.80,0.7799999999999999,0.8531468531468531,0.7439024390243902,0.7947882736156352,1304,143,1283,164,0.842948717948718,0.8885135135135135,0.8651315789473685,2769,312,2785,296,0.9944271920034937,0.9610308343633851
max_validation_recall,0.4699999999999999,0.3445378151260504,1.0,0.5125,971,476,1283,164,0.27031963470319637,1.0,0.42559309849029475,1986,1095,2785,296,0.9944271920034937,0.9610308343633851
