threshold,validation_precision,validation_recall,validation_f1,validation_pred_anomaly,final_precision,final_recall,final_f1,final_pred_anomaly
0.05,0.1844769403824522,1.0,0.3114909781576448,889,0.11816367265469062,1.0,0.21135308818279186,2505
0.06,0.18959537572254334,1.0,0.31875607385811466,865,0.12297465724968841,1.0,0.21901590825009248,2407
0.07,0.1943127962085308,1.0,0.3253968253968254,844,0.12687526789541362,1.0,0.22518067706352224,2333
0.08,0.19927095990279464,1.0,0.3323201621073962,823,0.13062665489849956,1.0,0.23106947697111632,2266
0.09,0.20551378446115287,1.0,0.340956340956341,798,0.13345356176735798,1.0,0.2354813046937152,2218
0.09999999999999999,0.2127107652399481,1.0,0.3508021390374332,771,0.1374187558031569,1.0,0.2416326530612245,2154
0.10999999999999999,0.21895861148197596,1.0,0.3592552026286966,749,0.14041745730550284,1.0,0.24625623960066556,2108
0.12,0.22343324250681199,1.0,0.36525612472160357,734,0.14299516908212562,1.0,0.2502113271344041,2070
0.13,0.2268326417704011,1.0,0.3697857948139797,723,0.14602861371484954,1.0,0.254842875591907,2027
0.13999999999999999,0.23229461756373937,1.0,0.37701149425287356,706,0.1487437185929648,1.0,0.2589676290463692,1990
0.14999999999999997,0.23563218390804597,1.0,0.3813953488372093,696,0.15156169994879673,1.0,0.2632281013783904,1953
0.15999999999999998,0.24011713030746706,1.0,0.3872491145218418,683,0.15489272632129775,1.0,0.26823742637063885,1911
0.16999999999999998,0.2436849925705795,1.0,0.3918757467144564,673,0.15795090715048027,1.0,0.2728110599078341,1874
0.18,0.24477611940298508,1.0,0.3932853717026379,670,0.16095704187058185,1.0,0.27728337236533956,1839
0.19,0.2469879518072289,1.0,0.3961352657004831,664,0.16228070175438597,1.0,0.2792452830188679,1824
0.19999999999999996,0.2496194824961948,1.0,0.3995127892813642,657,0.16471897607122982,1.0,0.2828475871954133,1797
0.20999999999999996,0.25426356589147286,1.0,0.4054388133498146,645,0.16914285714285715,1.0,0.28934506353861195,1750
0.21999999999999997,0.2611464968152866,1.0,0.41414141414141414,628,0.17199302730970367,1.0,0.2935052057511155,1721
0.22999999999999998,0.26366559485530544,1.0,0.4173027989821883,622,0.17608566329565734,1.0,0.2994436014162873,1681
0.24,0.26580226904376014,1.0,0.4199743918053777,617,0.17896009673518742,1.0,0.3035897435897436,1654
0.24999999999999994,0.26929392446633826,1.0,0.4243208279430789,609,0.1812614819350888,1.0,0.3068947641264904,1633
0.25999999999999995,0.27424749163879597,1.0,0.4304461942257218,598,0.18476903870162298,1.0,0.3119072708113804,1602
0.26999999999999996,0.2760942760942761,1.0,0.43271767810026385,594,0.18757921419518378,1.0,0.31590181430096054,1578
0.27999999999999997,0.27986348122866894,1.0,0.43733333333333335,586,0.19096774193548388,1.0,0.3206933911159263,1550
0.29,0.281786941580756,1.0,0.43967828418230565,582,0.1955085865257596,1.0,0.3270718232044199,1514
0.3,0.2847222222222222,1.0,0.44324324324324327,576,0.2,1.0,0.3333333333333333,1480
0.30999999999999994,0.29338103756708406,1.0,0.4536652835408022,559,0.2039972432804962,1.0,0.3388666285060103,1451
0.31999999999999995,0.2965641952983725,1.0,0.45746164574616455,553,0.206993006993007,1.0,0.3429895712630359,1430
0.32999999999999996,0.30091743119266057,1.0,0.46262341325811,545,0.2103766879886283,1.0,0.3476218438050499,1407
0.33999999999999997,0.3037037037037037,1.0,0.4659090909090909,540,0.21341023792357605,1.0,0.35175282234105765,1387
0.3499999999999999,0.3076923076923077,1.0,0.47058823529411764,533,0.21748714180749448,1.0,0.35727217863608934,1361
0.35999999999999993,0.3106060606060606,1.0,0.47398843930635837,528,0.2222222222222222,1.0,0.36363636363636365,1332
0.36999999999999994,0.3166023166023166,1.0,0.4809384164222874,518,0.2261268143621085,1.0,0.36884735202492214,1309
0.37999999999999995,0.3178294573643411,1.0,0.4823529411764706,516,0.23052959501557632,1.0,0.37468354430379747,1284
0.38999999999999996,0.32220039292730845,1.0,0.487369985141159,509,0.23492063492063492,1.0,0.38046272493573263,1260
0.3999999999999999,0.3273453093812375,1.0,0.4932330827067669,501,0.23870967741935484,1.0,0.3854166666666667,1240
0.4099999999999999,0.33064516129032256,1.0,0.49696969696969695,496,0.24143556280587275,1.0,0.38896189224704336,1226
0.41999999999999993,0.3333333333333333,1.0,0.5,492,0.24646128226477934,1.0,0.3954575818303273,1201
0.42999999999999994,0.3360655737704918,1.0,0.5030674846625767,488,0.2510602205258694,1.0,0.40135593220338983,1179
0.43999999999999995,0.33884297520661155,1.0,0.5061728395061729,484,0.2547332185886403,1.0,0.4060356652949246,1162
0.4499999999999999,0.340956340956341,1.0,0.5085271317829457,481,0.2607929515418502,1.0,0.413696715583508,1135
0.4599999999999999,0.3459915611814346,1.0,0.5141065830721003,474,0.2645218945487042,1.0,0.4183745583038869,1119
0.4699999999999999,0.3481953290870488,1.0,0.5165354330708661,471,0.26933575978161967,1.0,0.4243727598566308,1099
0.4799999999999999,0.34968017057569295,1.0,0.5181674565560821,469,0.2748375116063138,1.0,0.43117261471230883,1077
0.48999999999999994,0.3504273504273504,1.0,0.5189873417721519,468,0.2808349146110057,1.0,0.43851851851851853,1054
0.49999999999999994,0.35357917570498915,0.9939024390243902,0.5216,461,0.28599033816425123,1.0,0.44477836213373406,1035
0.5099999999999999,0.35920177383592017,0.9878048780487805,0.526829268292683,451,0.2907662082514735,1.0,0.4505327245053272,1018
0.5199999999999999,0.3656884875846501,0.9878048780487805,0.5337726523887973,443,0.2977867203219316,1.0,0.45891472868217054,994
0.5299999999999999,0.3707093821510298,0.9878048780487805,0.5391014975041597,437,0.30390143737166325,1.0,0.46614173228346456,974
0.5399999999999999,0.37587006960556846,0.9878048780487805,0.5445378151260504,431,0.3138918345705196,1.0,0.4778046811945117,943
0.5499999999999999,0.3788235294117647,0.9817073170731707,0.5466893039049237,425,0.3203463203463203,1.0,0.4852459016393443,924
0.5599999999999999,0.38498789346246975,0.9695121951219512,0.5511265164644714,413,0.3263506063947078,1.0,0.4921030756442228,907
