method,n_real,n_generated,mean_abs_diff,std_abs_diff,corr_abs_diff,real_min,real_max,generated_min,generated_max
Masking GT-GAN,247,1000,0.003390380647033453,0.000555014587007463,0.0011851767401256064,-2.6570355892181396,1.3082207441329956,-2.6621599197387695,1.314598798751831
Masking Diffusion,247,1000,0.011098567396402359,0.011542153544723988,0.011257995141634138,-2.6570355892181396,1.3082207441329956,-2.98490571975708,1.5593478679656982
Diffusion,247,1000,0.10978055000305176,0.29772844910621643,0.355872389431875,-2.6570355892181396,1.3082207441329956,-2.98490571975708,1.5593478679656982
GT-GAN,247,1000,0.7875417470932007,0.3352895975112915,0.4509760523146785,-2.6570355892181396,1.3082207441329956,-2.764305353164673,1.0660769939422607
