method,n_generated_used,model,n_estimators,max_samples,threshold_percentile,threshold,validation_f1,precision,recall,f1,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly
Baseline original only,0,IsolationForest,100,0.8,10,-0.04175091886349713,0.6038961038961039,0.3888888888888889,0.4966216216216216,0.4362017804154303,0.874887185210345,0.5231471818964942,2703,378,2785,296
Masking Diffusion,1000,IsolationForest,100,0.8,20,-0.1674376169484821,0.592503022974607,1.0,0.23648648648648649,0.3825136612021858,0.874887185210345,0.5231471818964942,3011,70,2785,296
Masking GT-GAN,1000,IsolationForest,100,0.8,20,-0.1748470124222053,0.592503022974607,1.0,0.20608108108108109,0.34173669467787116,0.874887185210345,0.5231471818964942,3020,61,2785,296
GT-GAN,1000,IsolationForest,100,0.8,20,-0.2622446687189821,0.592503022974607,0.0,0.0,0.0,0.874887185210345,0.5231471818964942,3081,0,2785,296
Diffusion,1000,IsolationForest,100,0.8,20,-0.2523709688396205,0.592503022974607,0.0,0.0,0.0,0.874887185210345,0.5231471818964942,3081,0,2785,296
